Linijinė Būsto Paskola 
Mėnesis        Mėnesinė įmoka                Kreditai            Palūkanos                     Nesumokėti kreditai
117 Mėn.       36.37                         28.90               7.47                          1791.91
118 Mėn.       36.25                         28.90               7.35                          1763.01
119 Mėn.       36.13                         28.90               7.23                          1734.10
120 Mėn.       36.01                         28.90               7.11                          1705.20
121 Mėn.       35.89                         28.90               6.98                          1676.30
122 Mėn.       35.77                         28.90               6.86                          1647.40
123 Mėn.       35.65                         28.90               6.74                          1618.50
124 Mėn.       35.53                         28.90               6.62                          1589.60
125 Mėn.       35.40                         28.90               6.50                          1560.69
126 Mėn.       35.28                         28.90               6.38                          1531.79
127 Mėn.       35.16                         28.90               6.26                          1502.89
128 Mėn.       35.04                         28.90               6.14                          1473.99
129 Mėn.       34.92                         28.90               6.02                          1445.09
130 Mėn.       34.80                         28.90               5.90                          1416.18
131 Mėn.       34.68                         28.90               5.78                          1387.28
132 Mėn.       34.56                         28.90               5.66                          1358.38
133 Mėn.       34.44                         28.90               5.54                          1329.48
134 Mėn.       34.32                         28.90               5.42                          1300.58
135 Mėn.       34.20                         28.90               5.30                          1271.68
136 Mėn.       34.08                         28.90               5.18                          1242.77
137 Mėn.       33.96                         28.90               5.06                          1213.87
138 Mėn.       33.84                         28.90               4.94                          1184.97
139 Mėn.       33.72                         28.90               4.82                          1156.07
140 Mėn.       33.60                         28.90               4.70                          1127.17
141 Mėn.       33.48                         28.90               4.58                          1098.27
142 Mėn.       33.36                         28.90               4.46                          1069.36
143 Mėn.       33.24                         28.90               4.34                          1040.46
144 Mėn.       33.12                         28.90               4.21                          1011.56
145 Mėn.       33.00                         28.90               4.09                          982.66
146 Mėn.       32.88                         28.90               3.97                          953.76
147 Mėn.       32.76                         28.90               3.85                          924.86
148 Mėn.       32.63                         28.90               3.73                          895.95
149 Mėn.       32.51                         28.90               3.61                          867.05
150 Mėn.       32.39                         28.90               3.49                          838.15
151 Mėn.       32.27                         28.90               3.37                          809.25
152 Mėn.       32.15                         28.90               3.25                          780.35
153 Mėn.       32.03                         28.90               3.13                          751.45
154 Mėn.       31.91                         28.90               3.01                          722.54
155 Mėn.       31.79                         28.90               2.89                          693.64
156 Mėn.       31.67                         28.90               2.77                          664.74
157 Mėn.       31.55                         28.90               2.65                          635.84
158 Mėn.       31.43                         28.90               2.53                          606.94
159 Mėn.       31.31                         28.90               2.41                          578.03
160 Mėn.       31.19                         28.90               2.29                          549.13
161 Mėn.       31.07                         28.90               2.17                          520.23
162 Mėn.       30.95                         28.90               2.05                          491.33
163 Mėn.       30.83                         28.90               1.93                          462.43
164 Mėn.       30.71                         28.90               1.81                          433.53
165 Mėn.       30.59                         28.90               1.69                          404.62
166 Mėn.       30.47                         28.90               1.57                          375.72
167 Mėn.       30.35                         28.90               1.45                          346.82
168 Mėn.       30.23                         28.90               1.32                          317.92
169 Mėn.       30.11                         28.90               1.20                          289.02
170 Mėn.       29.99                         28.90               1.08                          260.12
171 Mėn.       29.87                         28.90               0.96                          231.21
172 Mėn.       29.74                         28.90               0.84                          202.31
173 Mėn.       29.62                         28.90               0.72                          173.41
Papildomai sumoketa:1907.634874759153
